epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,141.844,0.0086,1.68253,1.87772,0.98164,0.94859,0.94988,0.68061,0.00699,1.91221,1.65399,0.005925,0.005925,0.005925
29,146.831,0.0084,1.65711,1.83503,0.72045,0.80392,0.88828,0.66651,0.00659,2.19637,1.57082,0.0057,0.0057,0.0057
30,151.966,0.00793,1.59182,1.76199,0.98418,0.94663,0.96484,0.72845,0.00701,1.90791,1.67926,0.005475,0.005475,0.005475
31,157.995,0.00762,1.38749,1.76948,0.97633,0.94938,0.96657,0.68632,0.00711,1.99345,1.72134,0.00525,0.00525,0.00525
32,163.091,0.00701,1.31883,1.67064,0.98259,0.94896,0.95981,0.74693,0.00601,1.80266,1.44804,0.005025,0.005025,0.005025
33,168.13,0.00664,1.30721,1.59904,0.97992,0.94794,0.95714,0.76701,0.00588,1.81881,1.56481,0.0048,0.0048,0.0048
34,173.295,0.00753,1.30724,1.75594,0.97423,0.94858,0.9575,0.7452,0.00611,1.78379,1.58441,0.004575,0.004575,0.004575
35,178.328,0.00673,1.20545,1.62763,0.97419,0.94986,0.95544,0.70024,0.00686,1.95252,1.61392,0.00435,0.00435,0.00435
36,184.665,0.00621,1.163,1.53374,0.97241,0.95437,0.95763,0.80619,0.00499,1.58098,1.36551,0.004125,0.004125,0.004125
37,189.779,0.00622,1.12898,1.54606,0.90917,0.85321,0.95758,0.75687,0.0055,2.13844,1.42219,0.0039,0.0039,0.0039
38,195.014,0.00623,1.1455,1.53183,0.97705,0.9477,0.95399,0.7575,0.00536,1.62976,1.42466,0.003675,0.003675,0.003675
39,199.965,0.00567,1.11418,1.44057,0.98227,0.94938,0.96468,0.79021,0.00485,1.59418,1.33,0.00345,0.00345,0.00345
40,204.979,0.00579,1.08567,1.46112,0.98112,0.94938,0.95415,0.75604,0.00571,1.64797,1.42208,0.003225,0.003225,0.003225
