epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.5682,0.01763,6.90668,3.63265,0,0,0,0,0.01542,6.84034,2.77062,0.09408,0.00288,0.00288
2,10.593,0.01707,6.00323,3.05178,0.0122,0.005,0.00621,0.00186,0.01579,6.32498,3.21577,0.0669697,0.00576975,0.00576975
3,15.389,0.01652,4.97308,2.99483,0.00396,0.02042,0.00206,0.00047,0.01384,7.22627,3.12245,0.039747,0.008547,0.008547
4,20.1085,0.01574,5.01202,2.89322,0.00396,0.02042,0.00206,0.00047,nan,nan,nan,0.0124117,0.0112118,0.0112118
5,24.9859,0.01596,4.63143,2.92142,0.00396,0.02042,0.00206,0.00047,nan,nan,nan,0.0111,0.0111,0.0111
6,29.804,0.01455,4.14669,2.75999,0.14152,0.10125,0.03511,0.0079,nan,nan,nan,0.010875,0.010875,0.010875
7,34.5178,0.01401,3.698,2.66773,0.18764,0.17604,0.16562,0.05795,0.01492,4.88982,3.25857,0.01065,0.01065,0.01065
8,39.3183,0.01461,3.59817,2.74038,0.11442,0.57583,0.16612,0.05327,0.0145,6.26086,2.60277,0.010425,0.010425,0.010425
9,44.1169,0.0143,3.63513,2.67124,0.1482,0.155,0.10471,0.04789,0.01306,6.15344,2.55164,0.0102,0.0102,0.0102
10,48.8611,0.01323,3.16082,2.51772,0.38946,0.39167,0.4162,0.15299,0.01422,4.09973,2.84635,0.009975,0.009975,0.009975
11,53.7135,0.01264,3.02817,2.43814,0.6803,0.59602,0.71736,0.32952,0.01201,2.90796,2.42253,0.00975,0.00975,0.00975
12,58.7817,0.01383,3.30819,2.60811,0.59196,0.47762,0.53559,0.3025,0.01134,4.12412,2.13033,0.009525,0.009525,0.009525
13,63.6515,0.01251,2.79823,2.42839,0.02305,0.07687,0.01816,0.00433,0.01495,9.20599,2.6919,0.0093,0.0093,0.0093
14,68.4647,0.01182,2.76735,2.38783,0.27702,0.91813,0.59328,0.28735,0.01207,3.93476,2.63944,0.009075,0.009075,0.009075
15,73.2727,0.01138,2.54256,2.28457,0.86431,0.85389,0.91518,0.57964,0.00912,2.27624,1.9561,0.00885,0.00885,0.00885
16,78.1256,0.01213,2.44628,2.4015,0.51692,0.66588,0.60258,0.21637,0.0156,3.42821,3.10693,0.008625,0.008625,0.008625
17,82.971,0.01122,2.45183,2.2699,0.04849,0.50167,0.15673,0.07519,0.01239,7.0705,2.2902,0.0084,0.0084,0.0084
18,88.9061,0.01097,2.40412,2.22311,0.92402,0.9148,0.96129,0.53612,0.00921,2.04465,2.19655,0.008175,0.008175,0.008175
19,94.5834,0.01026,2.23517,2.156,0.33833,0.95958,0.74862,0.40466,0.01077,3.01842,2.61736,0.00795,0.00795,0.00795
20,100.691,0.01095,2.286,2.23738,0.94779,0.92396,0.94447,0.62243,0.00819,2.27365,1.98763,0.007725,0.007725,0.007725
21,106.024,0.01007,2.06958,2.09336,0.95418,0.93584,0.95116,0.68057,0.00743,2.05462,1.79945,0.0075,0.0075,0.0075
22,111.782,0.00935,1.90878,1.99009,0.89393,0.86238,0.93386,0.61544,0.0081,2.39576,1.92617,0.007275,0.007275,0.007275
23,116.88,0.0095,1.95457,2.04927,0.96795,0.93445,0.95538,0.65427,0.00743,1.9952,1.8953,0.00705,0.00705,0.00705
24,122.064,0.00912,1.82965,1.9787,0.97407,0.9351,0.95873,0.60918,0.00854,2.12996,2.03239,0.006825,0.006825,0.006825
25,127.001,0.00933,1.87616,2.01756,0.94399,0.92875,0.95828,0.68354,0.00732,1.76735,1.73443,0.0066,0.0066,0.0066
26,131.944,0.00901,1.77689,1.94284,0.97744,0.94938,0.95501,0.67566,0.0071,1.91443,1.75097,0.006375,0.006375,0.006375
27,136.843,0.0086,1.79758,1.87711,0.91369,0.94372,0.95697,0.74344,0.00631,1.75057,1.65723,0.00615,0.00615,0.00615
