epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,5494.72,1.23056,1.93828,1.61114,0.5392,0.47348,0.468,0.32429,1.22395,1.68673,1.5901,0.004456,0.004456,0.004456
30,5682.77,1.22602,1.9238,1.60717,0.55691,0.47925,0.48014,0.3318,1.22419,1.66711,1.59181,0.004258,0.004258,0.004258
31,5870.99,1.22097,1.90943,1.60372,0.56342,0.47241,0.4851,0.33832,1.20611,1.65015,1.57129,0.00406,0.00406,0.00406
32,6062.59,1.21589,1.89105,1.59689,0.55758,0.48029,0.48646,0.34035,1.20916,1.64094,1.57216,0.003862,0.003862,0.003862
33,6251.62,1.2064,1.87485,1.58797,0.54404,0.49354,0.48938,0.34064,1.20182,1.62946,1.56262,0.003664,0.003664,0.003664
34,6439.66,1.1948,1.86068,1.58315,0.55724,0.49542,0.49594,0.34648,1.19862,1.60915,1.56067,0.003466,0.003466,0.003466
35,6631.68,1.19447,1.84647,1.58091,0.57022,0.49559,0.50373,0.35396,1.18879,1.59896,1.55442,0.003268,0.003268,0.003268
36,6833.6,1.18123,1.83269,1.57096,0.58132,0.4959,0.50946,0.3584,1.18244,1.58687,1.5472,0.00307,0.00307,0.00307
37,7030.64,1.18797,1.82496,1.56594,0.56551,0.5076,0.51083,0.35978,1.18473,1.57447,1.54674,0.002872,0.002872,0.002872
38,7227.86,1.17608,1.79916,1.56068,0.5759,0.50607,0.51637,0.36489,1.17954,1.56184,1.54104,0.002674,0.002674,0.002674
39,7426.68,1.17204,1.79043,1.55146,0.58119,0.51483,0.52157,0.36871,1.17388,1.56025,1.53447,0.002476,0.002476,0.002476
40,7621.68,1.16443,1.76912,1.54774,0.58769,0.5103,0.52351,0.37055,1.1724,1.55116,1.5323,0.002278,0.002278,0.002278
41,7811.97,1.16783,1.62158,1.56394,0.58751,0.51148,0.52596,0.3741,1.16666,1.53644,1.52879,0.00208,0.00208,0.00208
42,8003.16,1.1452,1.58191,1.54841,0.58803,0.51781,0.53243,0.3786,1.1614,1.52798,1.52656,0.001882,0.001882,0.001882
43,8197.6,1.13612,1.55223,1.53919,0.58467,0.52797,0.53709,0.38337,1.15421,1.51819,1.52055,0.001684,0.001684,0.001684
44,8390.91,1.12845,1.52843,1.52999,0.60485,0.5227,0.53939,0.38544,1.15236,1.51166,1.51665,0.001486,0.001486,0.001486
45,8586.81,1.11202,1.50798,1.52141,0.61971,0.51367,0.54325,0.38904,1.14838,1.50401,1.51407,0.001288,0.001288,0.001288
46,8785.39,1.1041,1.49199,1.51155,0.61439,0.52484,0.54549,0.39115,1.14707,1.49756,1.5127,0.00109,0.00109,0.00109
47,8989.81,1.0989,1.47327,1.50331,0.60644,0.52986,0.54553,0.39173,1.14706,1.49306,1.51341,0.000892,0.000892,0.000892
48,9185.12,1.08769,1.4547,1.49332,0.6027,0.53451,0.54803,0.3938,1.14516,1.48956,1.51112,0.000694,0.000694,0.000694
49,9382.22,1.08359,1.44252,1.49497,0.61462,0.52165,0.54876,0.39448,1.14341,1.48711,1.5097,0.000496,0.000496,0.000496
50,9574.34,1.07735,1.42767,1.48352,0.61864,0.52378,0.55037,0.39528,1.14342,1.48512,1.50916,0.000298,0.000298,0.000298
