epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.245,3.26899,4.96884,4.11847,0.00274,0.08569,0.00185,0.00049,2.89353,4.25571,3.84407,0.00332955,0.00332955,0.00332955
2,391.189,2.54133,4.30345,3.12166,0.84322,0.02693,0.01932,0.00579,2.30297,3.605,2.90074,0.00653095,0.00653095,0.00653095
3,593.613,1.92844,3.59755,2.3942,0.43843,0.11831,0.06231,0.02768,1.92444,3.21626,2.43231,0.00960036,0.00960036,0.00960036
4,778.021,1.74649,3.20972,2.16514,0.38846,0.18382,0.11739,0.0572,1.79178,2.91196,2.25051,0.009406,0.009406,0.009406
5,963.033,1.63959,2.97425,2.0451,0.40202,0.21875,0.13746,0.07325,1.69601,2.75345,2.12951,0.009208,0.009208,0.009208
6,1150.66,1.58345,2.81724,1.97951,0.34156,0.24343,0.16861,0.09864,1.63222,2.60636,2.03462,0.00901,0.00901,0.00901
7,1348.21,1.5355,2.70874,1.9258,0.33531,0.27429,0.18959,0.11068,1.57968,2.49154,2.00222,0.008812,0.008812,0.008812
8,1535.22,1.49962,2.6188,1.8864,0.31406,0.29399,0.211,0.12304,1.5683,2.43507,1.93539,0.008614,0.008614,0.008614
9,1721.97,1.47627,2.54624,1.86124,0.33038,0.31496,0.2434,0.15136,1.52242,2.31765,1.90864,0.008416,0.008416,0.008416
10,1909.64,1.44911,2.49465,1.83328,0.31242,0.34356,0.26445,0.1641,1.48634,2.25661,1.87263,0.008218,0.008218,0.008218
11,2100.32,1.42457,2.44338,1.81474,0.32704,0.34997,0.29576,0.18731,1.45965,2.19705,1.84816,0.00802,0.00802,0.00802
12,2289.7,1.40367,2.38967,1.79292,0.34889,0.34157,0.29927,0.19582,1.44107,2.21563,1.83815,0.007822,0.007822,0.007822
13,2482.14,1.39026,2.3516,1.7762,0.38085,0.3546,0.31428,0.20606,1.41612,2.15542,1.79947,0.007624,0.007624,0.007624
14,2669.8,1.37687,2.31608,1.76288,0.39849,0.36045,0.32584,0.21489,1.40371,2.10396,1.781,0.007426,0.007426,0.007426
15,2857.4,1.36089,2.27509,1.74942,0.39187,0.37752,0.34383,0.22813,1.3932,2.04207,1.76589,0.007228,0.007228,0.007228
16,3045.68,1.34938,2.24767,1.73367,0.39557,0.39314,0.35637,0.23534,1.37719,2.03573,1.77122,0.00703,0.00703,0.00703
17,3234.78,1.33933,2.21355,1.72524,0.43791,0.39903,0.37043,0.2444,1.35168,1.97505,1.73167,0.006832,0.006832,0.006832
18,3421.19,1.32427,2.17638,1.7103,0.43588,0.39377,0.37392,0.2536,1.33101,1.95496,1.71582,0.006634,0.006634,0.006634
19,3606.71,1.30724,2.13659,1.69539,0.4733,0.41973,0.39503,0.26596,1.32438,1.9188,1.69849,0.006436,0.006436,0.006436
20,3792.99,1.30933,2.12721,1.6958,0.47659,0.41773,0.39986,0.26963,1.31415,1.89617,1.6908,0.006238,0.006238,0.006238
21,3982.17,1.29035,2.10155,1.67193,0.49538,0.42122,0.40688,0.2773,1.29913,1.85911,1.6734,0.00604,0.00604,0.00604
22,4172.23,1.28819,2.08451,1.67228,0.48688,0.43702,0.42315,0.28871,1.29579,1.82264,1.67012,0.005842,0.005842,0.005842
23,4362.42,1.27534,2.06546,1.66225,0.48175,0.44399,0.429,0.29696,1.2809,1.79972,1.65219,0.005644,0.005644,0.005644
24,4551.26,1.27001,2.0459,1.65203,0.47875,0.45033,0.43436,0.30033,1.26838,1.79671,1.6334,0.005446,0.005446,0.005446
25,4739.03,1.26505,2.01791,1.64686,0.49717,0.45709,0.44676,0.30639,1.2575,1.75669,1.62721,0.005248,0.005248,0.005248
26,4926.93,1.25949,1.98742,1.64214,0.50405,0.46458,0.4513,0.31468,1.24612,1.74033,1.61934,0.00505,0.00505,0.00505
27,5119,1.24255,1.97214,1.6306,0.52638,0.46465,0.46118,0.32096,1.23651,1.71568,1.60345,0.004852,0.004852,0.004852
28,5306.66,1.24399,1.95954,1.62651,0.52659,0.46512,0.46492,0.3236,1.23171,1.6975,1.59782,0.004654,0.004654,0.004654
